iso3,wikipedia_url,http_status,final_url
IOT,https://en.wikipedia.org/wiki/British_Indian_Ocean_Territory,200,https://en.wikipedia.org/wiki/British_Indian_Ocean_Territory
VGB,https://en.wikipedia.org/wiki/Virgin_Islands%2C_British,200,https://en.wikipedia.org/wiki/Virgin_Islands%2C_British
BRN,https://en.wikipedia.org/wiki/Brunei_Darussalam,200,https://en.wikipedia.org/wiki/Brunei_Darussalam
BGR,https://en.wikipedia.org/wiki/Bulgaria,200,https://en.wikipedia.org/wiki/Bulgaria
BFA,https://en.wikipedia.org/wiki/Burkina_Faso,200,https://en.wikipedia.org/wiki/Burkina_Faso
BDI,https://en.wikipedia.org/wiki/Burundi,200,https://en.wikipedia.org/wiki/Burundi
CPV,https://en.wikipedia.org/wiki/Cabo_Verde,200,https://en.wikipedia.org/wiki/Cabo_Verde
KHM,https://en.wikipedia.org/wiki/Cambodia,200,https://en.wikipedia.org/wiki/Cambodia
CMR,https://en.wikipedia.org/wiki/Cameroon,200,https://en.wikipedia.org/wiki/Cameroon
CAN,https://en.wikipedia.org/wiki/Canada,200,https://en.wikipedia.org/wiki/Canada
CYM,https://en.wikipedia.org/wiki/Cayman_Islands,200,https://en.wikipedia.org/wiki/Cayman_Islands
CAF,https://en.wikipedia.org/wiki/Central_African_Republic,200,https://en.wikipedia.org/wiki/Central_African_Republic
TCD,https://en.wikipedia.org/wiki/Chad,200,https://en.wikipedia.org/wiki/Chad
CHL,https://en.wikipedia.org/wiki/Chile,200,https://en.wikipedia.org/wiki/Chile
CHN,https://en.wikipedia.org/wiki/China,200,https://en.wikipedia.org/wiki/China
HKG,https://en.wikipedia.org/wiki/Hong_Kong,200,https://en.wikipedia.org/wiki/Hong_Kong
MAC,https://en.wikipedia.org/wiki/Macao,200,https://en.wikipedia.org/wiki/Macao
CXR,https://en.wikipedia.org/wiki/Christmas_Island,200,https://en.wikipedia.org/wiki/Christmas_Island
CCK,https://en.wikipedia.org/wiki/Cocos_%28Keeling%29_Islands,200,https://en.wikipedia.org/wiki/Cocos_%28Keeling%29_Islands
COL,https://en.wikipedia.org/wiki/Colombia,200,https://en.wikipedia.org/wiki/Colombia
COM,https://en.wikipedia.org/wiki/Comoros,200,https://en.wikipedia.org/wiki/Comoros
COG,https://en.wikipedia.org/wiki/Republic_of_the_Congo,200,https://en.wikipedia.org/wiki/Republic_of_the_Congo
COK,https://en.wikipedia.org/wiki/Cook_Islands,200,https://en.wikipedia.org/wiki/Cook_Islands
CRI,https://en.wikipedia.org/wiki/Costa_Rica,200,https://en.wikipedia.org/wiki/Costa_Rica
HRV,https://en.wikipedia.org/wiki/Croatia,200,https://en.wikipedia.org/wiki/Croatia
CUB,https://en.wikipedia.org/wiki/Cuba,200,https://en.wikipedia.org/wiki/Cuba
CYP,https://en.wikipedia.org/wiki/Cyprus,200,https://en.wikipedia.org/wiki/Cyprus
CZE,https://en.wikipedia.org/wiki/Czechia,200,https://en.wikipedia.org/wiki/Czechia
CIV,https://en.wikipedia.org/wiki/Ivory_Coast,200,https://en.wikipedia.org/wiki/Ivory_Coast
PRK,https://en.wikipedia.org/wiki/North_Korea,200,https://en.wikipedia.org/wiki/North_Korea
COD,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,200,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
DNK,https://en.wikipedia.org/wiki/Denmark,200,https://en.wikipedia.org/wiki/Denmark
DJI,https://en.wikipedia.org/wiki/Djibouti,200,https://en.wikipedia.org/wiki/Djibouti
DMA,https://en.wikipedia.org/wiki/Dominica,200,https://en.wikipedia.org/wiki/Dominica
DOM,https://en.wikipedia.org/wiki/Dominican_Republic,200,https://en.wikipedia.org/wiki/Dominican_Republic
ECU,https://en.wikipedia.org/wiki/Ecuador,200,https://en.wikipedia.org/wiki/Ecuador
EGY,https://en.wikipedia.org/wiki/Egypt,200,https://en.wikipedia.org/wiki/Egypt
SLV,https://en.wikipedia.org/wiki/El_Salvador,200,https://en.wikipedia.org/wiki/El_Salvador
GNQ,https://en.wikipedia.org/wiki/Equatorial_Guinea,200,https://en.wikipedia.org/wiki/Equatorial_Guinea
ERI,https://en.wikipedia.org/wiki/Eritrea,200,https://en.wikipedia.org/wiki/Eritrea
EST,https://en.wikipedia.org/wiki/Estonia,200,https://en.wikipedia.org/wiki/Estonia
SWZ,https://en.wikipedia.org/wiki/Eswatini,200,https://en.wikipedia.org/wiki/Eswatini
ETH,https://en.wikipedia.org/wiki/Ethiopia,200,https://en.wikipedia.org/wiki/Ethiopia
FLK,https://en.wikipedia.org/wiki/Falkland_Islands_%28Malvinas%29,200,https://en.wikipedia.org/wiki/Falkland_Islands_%28Malvinas%29
FRO,https://en.wikipedia.org/wiki/Faroe_Islands,200,https://en.wikipedia.org/wiki/Faroe_Islands
FJI,https://en.wikipedia.org/wiki/Fiji,200,https://en.wikipedia.org/wiki/Fiji
FIN,https://en.wikipedia.org/wiki/Finland,200,https://en.wikipedia.org/wiki/Finland
FRA,https://en.wikipedia.org/wiki/France,200,https://en.wikipedia.org/wiki/France
GUF,https://en.wikipedia.org/wiki/French_Guiana,200,https://en.wikipedia.org/wiki/French_Guiana
ATF,https://en.wikipedia.org/wiki/French_Southern_Territories,200,https://en.wikipedia.org/wiki/French_Southern_Territories
GAB,https://en.wikipedia.org/wiki/Gabon,200,https://en.wikipedia.org/wiki/Gabon
GMB,https://en.wikipedia.org/wiki/Gambia,200,https://en.wikipedia.org/wiki/Gambia
GEO,https://en.wikipedia.org/wiki/Georgia,200,https://en.wikipedia.org/wiki/Georgia
DEU,https://en.wikipedia.org/wiki/Germany,200,https://en.wikipedia.org/wiki/Germany
GHA,https://en.wikipedia.org/wiki/Ghana,200,https://en.wikipedia.org/wiki/Ghana
GIB,https://en.wikipedia.org/wiki/Gibraltar,200,https://en.wikipedia.org/wiki/Gibraltar
GRC,https://en.wikipedia.org/wiki/Greece,200,https://en.wikipedia.org/wiki/Greece
GRD,https://en.wikipedia.org/wiki/Grenada,200,https://en.wikipedia.org/wiki/Grenada
GLP,https://en.wikipedia.org/wiki/Guadeloupe,200,https://en.wikipedia.org/wiki/Guadeloupe
GTM,https://en.wikipedia.org/wiki/Guatemala,200,https://en.wikipedia.org/wiki/Guatemala
GGY,https://en.wikipedia.org/wiki/Guernsey,200,https://en.wikipedia.org/wiki/Guernsey
GIN,https://en.wikipedia.org/wiki/Guinea,200,https://en.wikipedia.org/wiki/Guinea
GNB,https://en.wikipedia.org/wiki/Guinea-Bissau,200,https://en.wikipedia.org/wiki/Guinea-Bissau
GUY,https://en.wikipedia.org/wiki/Guyana,200,https://en.wikipedia.org/wiki/Guyana
HTI,https://en.wikipedia.org/wiki/Haiti,200,https://en.wikipedia.org/wiki/Haiti
HMD,https://en.wikipedia.org/wiki/Heard_Island_and_McDonald_Islands,200,https://en.wikipedia.org/wiki/Heard_Island_and_McDonald_Islands
